Time (s),Voltage (V)
-3e-08,0.12
-2.996e-08,0.12
-2.992e-08,0.12
-2.988e-08,0.12
-2.9839999999999995e-08,0.12
-2.98e-08,0.12
-2.9759999999999996e-08,0.12
-2.9719999999999997e-08,0.16
-2.968e-08,0.16
-2.9639999999999996e-08,0.16
-2.9599999999999997e-08,0.16
-2.9559999999999998e-08,0.16
-2.9519999999999996e-08,0.16
-2.9479999999999997e-08,0.16
-2.9439999999999998e-08,0.16
-2.94e-08,0.16
-2.9359999999999996e-08,0.16
-2.9319999999999997e-08,0.16
-2.9279999999999998e-08,0.16
-2.9239999999999996e-08,0.16
-2.9199999999999997e-08,0.16
-2.9159999999999998e-08,0.16
-2.912e-08,0.16
-2.9079999999999996e-08,0.16
-2.9039999999999997e-08,0.16
-2.8999999999999998e-08,0.16
-2.8959999999999996e-08,0.16
-2.8919999999999997e-08,0.16
-2.8879999999999998e-08,0.16
-2.884e-08,0.16
-2.8799999999999996e-08,0.16
-2.8759999999999997e-08,0.16
-2.872e-08,0.16
-2.8679999999999996e-08,0.16
-2.8639999999999997e-08,0.16
-2.8599999999999998e-08,0.16
-2.856e-08,0.16
-2.8519999999999997e-08,0.2
-2.8479999999999998e-08,0.2
-2.844e-08,0.2
-2.8399999999999996e-08,0.2
-2.8359999999999997e-08,0.2
-2.8319999999999998e-08,0.2
-2.828e-08,0.2
-2.8239999999999997e-08,0.2
-2.8199999999999998e-08,0.2
-2.816e-08,0.2
-2.8119999999999996e-08,0.2
-2.8079999999999997e-08,0.2
-2.8039999999999998e-08,0.2
-2.8e-08,0.2
-2.7959999999999997e-08,0.2
-2.7919999999999998e-08,0.2
-2.788e-08,0.2
-2.7839999999999997e-08,0.2
-2.7799999999999997e-08,0.2
-2.776e-08,0.2
-2.7719999999999996e-08,0.2
-2.7679999999999997e-08,0.2
-2.7639999999999998e-08,0.2
-2.7599999999999996e-08,0.2
-2.7559999999999997e-08,0.2
-2.7519999999999998e-08,0.2
-2.748e-08,0.2
-2.7439999999999996e-08,0.2
-2.7399999999999997e-08,0.2
-2.7359999999999998e-08,0.2
-2.7319999999999996e-08,0.2
-2.7279999999999997e-08,0.2
-2.7239999999999998e-08,0.2
-2.72e-08,0.2
-2.7159999999999996e-08,0.2
-2.7119999999999997e-08,0.2
-2.7079999999999998e-08,0.2
-2.7039999999999996e-08,0.2
-2.6999999999999997e-08,0.2
-2.6959999999999998e-08,0.2
-2.692e-08,0.2
-2.6879999999999997e-08,0.2
-2.6839999999999997e-08,0.2
-2.68e-08,0.2
-2.6759999999999996e-08,0.2
-2.6719999999999997e-08,0.2
-2.6679999999999998e-08,0.2
-2.664e-08,0.2
-2.6599999999999997e-08,0.2
-2.6559999999999998e-08,0.2
-2.652e-08,0.2
-2.6479999999999996e-08,0.2
-2.6439999999999997e-08,0.2
-2.6399999999999998e-08,0.2
-2.636e-08,0.2
-2.6319999999999997e-08,0.2
-2.6279999999999998e-08,0.2
-2.624e-08,0.16
-2.6199999999999996e-08,0.16
-2.6159999999999997e-08,0.16
-2.6119999999999998e-08,0.16
-2.608e-08,0.16
-2.6039999999999997e-08,0.16
-2.5999999999999998e-08,0.16
-2.5959999999999996e-08,0.16
-2.5919999999999997e-08,0.16
-2.5879999999999997e-08,0.16
-2.584e-08,0.16
-2.58e-08,0.16
-2.5759999999999997e-08,0.16
-2.5719999999999998e-08,0.16
-2.5679999999999996e-08,0.16
-2.5639999999999997e-08,0.16
-2.5599999999999998e-08,0.16
-2.556e-08,0.16
-2.552e-08,0.16
-2.5479999999999997e-08,0.16
-2.5439999999999998e-08,0.16
-2.5399999999999996e-08,0.16
-2.5359999999999997e-08,0.16
-2.5319999999999998e-08,0.16
-2.528e-08,0.16
-2.5239999999999996e-08,0.16
-2.5199999999999997e-08,0.16
-2.5159999999999998e-08,0.16
-2.5119999999999996e-08,0.16
-2.5079999999999997e-08,0.16
-2.5039999999999998e-08,0.12
-2.5e-08,0.12
-2.4959999999999997e-08,0.12
-2.4919999999999997e-08,0.12
-2.488e-08,0.12
-2.4839999999999996e-08,0.12
-2.4799999999999997e-08,0.12
-2.4759999999999998e-08,0.12
-2.472e-08,0.16
-2.4679999999999997e-08,0.16
-2.4639999999999998e-08,0.16
-2.46e-08,0.16
-2.4559999999999996e-08,0.16
-2.4519999999999997e-08,0.16
-2.4479999999999998e-08,0.16
-2.444e-08,0.16
-2.4399999999999997e-08,0.16
-2.4359999999999998e-08,0.16
-2.432e-08,0.16
-2.4279999999999996e-08,0.16
-2.4239999999999997e-08,0.16
-2.4199999999999998e-08,0.16
-2.416e-08,0.16
-2.4119999999999997e-08,0.16
-2.4079999999999998e-08,0.16
-2.404e-08,0.16
-2.3999999999999997e-08,0.16
-2.3959999999999997e-08,0.16
-2.392e-08,0.16
-2.388e-08,0.16
-2.3839999999999997e-08,0.16
-2.3799999999999998e-08,0.16
-2.3759999999999996e-08,0.16
-2.3719999999999997e-08,0.16
-2.3679999999999998e-08,0.16
-2.364e-08,0.16
-2.36e-08,0.16
-2.3559999999999997e-08,0.2
-2.3519999999999998e-08,0.2
-2.3479999999999996e-08,0.2
-2.3439999999999997e-08,0.2
-2.3399999999999998e-08,0.2
-2.336e-08,0.2
-2.332e-08,0.2
-2.3279999999999997e-08,0.2
-2.3239999999999998e-08,0.2
-2.3199999999999996e-08,0.16
-2.3159999999999997e-08,0.16
-2.3119999999999998e-08,0.16
-2.308e-08,0.16
-2.3039999999999997e-08,0.16
-2.2999999999999998e-08,0.16
-2.296e-08,0.16
-2.2919999999999996e-08,0.16
-2.2879999999999997e-08,0.16
-2.2839999999999998e-08,0.16
-2.28e-08,0.16
-2.2759999999999997e-08,0.16
-2.2719999999999998e-08,0.16
-2.268e-08,0.16
-2.2639999999999996e-08,0.16
-2.2599999999999997e-08,0.16
-2.2559999999999998e-08,0.16
-2.252e-08,0.16
-2.248e-08,0.16
-2.2439999999999998e-08,0.16
-2.2399999999999995e-08,0.16
-2.2359999999999996e-08,0.16
-2.2319999999999997e-08,0.16
-2.2279999999999998e-08,0.16
-2.224e-08,0.16
-2.22e-08,0.16
-2.2159999999999998e-08,0.16
-2.2119999999999996e-08,0.16
-2.2079999999999997e-08,0.16
-2.2039999999999998e-08,0.16
-2.2e-08,0.16
-2.196e-08,0.16
-2.1919999999999997e-08,0.16
-2.1879999999999998e-08,0.16
-2.1839999999999996e-08,0.16
-2.1799999999999997e-08,0.16
-2.1759999999999998e-08,0.16
-2.172e-08,0.16
-2.168e-08,0.16
-2.1639999999999997e-08,0.16
-2.1599999999999998e-08,0.16
-2.1559999999999996e-08,0.16
-2.1519999999999997e-08,0.16
-2.1479999999999998e-08,0.16
-2.144e-08,0.16
-2.14e-08,0.16
-2.1359999999999997e-08,0.16
-2.1319999999999998e-08,0.16
-2.1279999999999996e-08,0.16
-2.1239999999999997e-08,0.16
-2.1199999999999998e-08,0.16
-2.116e-08,0.16
-2.112e-08,0.16
-2.1079999999999998e-08,0.16
-2.104e-08,0.16
-2.0999999999999996e-08,0.16
-2.0959999999999997e-08,0.16
-2.0919999999999998e-08,0.16
-2.088e-08,0.16
-2.084e-08,0.16
-2.0799999999999998e-08,0.16
-2.076e-08,0.16
-2.0719999999999996e-08,0.16
-2.0679999999999997e-08,0.16
-2.0639999999999998e-08,0.16
-2.06e-08,0.16
-2.056e-08,0.16
-2.0519999999999998e-08,0.16
-2.0479999999999995e-08,0.16
-2.0439999999999996e-08,0.16
-2.0399999999999997e-08,0.16
-2.036e-08,0.16
-2.032e-08,0.16
-2.028e-08,0.16
-2.0239999999999998e-08,0.12
-2.0199999999999996e-08,0.12
-2.0159999999999997e-08,0.12
-2.0119999999999998e-08,0.12
-2.008e-08,0.12
-2.004e-08,0.12
-1.9999999999999997e-08,0.12
-1.9959999999999998e-08,0.12
-1.9919999999999996e-08,0.12
-1.9879999999999997e-08,0.12
-1.9839999999999998e-08,0.12
-1.98e-08,0.12
-1.976e-08,0.12
-1.9719999999999997e-08,0.12
-1.9679999999999998e-08,0.12
-1.9639999999999996e-08,0.12
-1.9599999999999997e-08,0.12
-1.9559999999999998e-08,0.12
-1.952e-08,0.12
-1.948e-08,0.12
-1.9439999999999997e-08,0.12
-1.94e-08,0.12
-1.9359999999999996e-08,0.12
-1.9319999999999997e-08,0.12
-1.9279999999999998e-08,0.12
-1.924e-08,0.12
-1.92e-08,0.12
-1.9159999999999998e-08,0.12
-1.912e-08,0.12
-1.9079999999999996e-08,0.12
-1.9039999999999997e-08,0.08
-1.8999999999999998e-08,0.08
-1.896e-08,0.08
-1.892e-08,0.08
-1.8879999999999998e-08,0.08
-1.884e-08,0.08
-1.8799999999999996e-08,0.08
-1.8759999999999997e-08,0.08
-1.8719999999999998e-08,0.12
-1.868e-08,0.12
-1.864e-08,0.12
-1.8599999999999998e-08,0.12
-1.856e-08,0.12
-1.8519999999999996e-08,0.12
-1.8479999999999997e-08,0.12
-1.844e-08,0.12
-1.84e-08,0.12
-1.836e-08,0.12
-1.8319999999999998e-08,0.12
-1.8279999999999996e-08,0.12
-1.8239999999999997e-08,0.12
-1.8199999999999998e-08,0.12
-1.816e-08,0.12
-1.812e-08,0.12
-1.808e-08,0.12
-1.8039999999999998e-08,0.12
-1.7999999999999996e-08,0.12
-1.7959999999999997e-08,0.12
-1.7919999999999998e-08,0.12
-1.788e-08,0.12
-1.784e-08,0.12
-1.7799999999999997e-08,0.12
-1.7759999999999998e-08,0.12
-1.7719999999999996e-08,0.12
-1.7679999999999997e-08,0.12
-1.7639999999999998e-08,0.12
-1.76e-08,0.12
-1.756e-08,0.12
-1.7519999999999997e-08,0.16
-1.748e-08,0.16
